location,price,Anna
" With A House FreeBalaju, Kathmandu","Nrs. 85,00,000  - aana","0-9-
1-"
"Bhaisepati, Lalitpur","Nrs. 20,00,000  - Aana","8.5-
0-0-0"
"Khokana , Lalitpur","Nrs. 35,00,000  - Aana","0-38-
0-0"
"Khokana , Lalitpur","Nrs. 35,00,000  - Aana","0-10-
0-0"
"Magar Gaun, Bhaisepati, Lalitpur","Nrs. 42,00,000  - Aana","0-5--
0"
"Plotted Bhaisepati, Vibar Planning, Lalitpur","Nrs. 35,00,000  - aana","0-4--
0"
"Harisiddhi, Lalitpur","Nrs. 38,00,000  - aana","0-11-
0-0"
"Kusunti, Thasikhel, Lalitpur","Nrs. 55,00,000  - Aana",0-3--
" In Bhaktapur, Sipadolsipadol, Bhaktapur","Nrs. 15,00,000  - Aana","0-3.5-
0-0"
"Oil Store For SaleAmlekhganj, Bara","Nrs. 12,00,00,000  - Entrie land + Property","0-4-
-1-
0"
" In PanchkhalPanchkhal, Kavrepalanchok","Nrs. 55,00,000  - Per Ropani",0-0-0-0
" In BhaisepatiBhaisepati, Lalitpur","Nrs. 35,00,000  - Aana","0-4--
0"
" In HattibanHattiban, Lalitpur","Nrs. 35,00,000  - Aana","0-3--
0"
" In BanepaBanepa, Kavrepalanchok","Nrs. 18,50,000  - Aana","8-
0-0-0"
" In ImadoleImadole, Sita Pakha Height, Lalitpur","Nrs. 45,00,000  - Aana","0-5-
0-0"
" In  Duwakot, BhaktapurDuwakot, Bhaktapur","Nrs. 22,00,000  - Aana","0-4-
0-0"
" In Shiva Chwok, JorpatiShiva Chwok, Jorpati, Kathmandu","Nrs. 50,00,000  - Aana","0-4--
0"
" In MulpaniMulpani, Kathmandu","Nrs. 35,00,000  - Aana","0-5-
1-
0"
" At LalitpurBhaisepati, Lalitpur","Nrs. 95,00,000  - Aana","0-12-
0-0"
" In ChunikhelChunikhel, Lalitpur","Nrs. 14,00,000  - Aana","6-
0-0-0"
" In NijghadNijghad, Bara","Nrs. 60,00,000  - per kattha","0-5-
0-0"
" In LubhuLubhu, Lalitpur","Nrs. 30,00,000  - Aana","0-4-
0-0"
" In KusuntiKusunti, Lalitpur","Nrs. 40,00,000  - Aana","0-12-
0-0"
" In SanepaSanepa, Lalitpur","Nrs. 80,00,000  - Aana","0-18-
0-0"
